group,metrics,mean_rank,min_rank,max_rank
1,line_coverage,1.0,1,1
2,isAssertionRoulette,2.0,2,2
3,LCC_prod,3.0,3,3
3,LOC_prod,3.0,3,3
4,McCABE_prod,4.0,4,4
4,LCOM4_prod,4.0,4,4
5,LCOM3_prod,5.0,5,5
6,RFC_prod,6.0,6,6
6,McCABE_test,6.0,6,6
7,LCC_test,7.0,7,7
7,WMC_prod,7.0,7,7
8,RFC_test,8.0,8,8
8,CBO_prod,8.0,8,8
8,MPC_prod,8.0,8,8
8,LCOM1_prod,8.0,8,8
8,TCC_prod,8.0,8,8
9,MPC_test,9.0,9,9
9,WMC_test,9.0,9,9
9,LCOM1_test,9.0,9,9
9,HALSTEAD_prod,9.0,9,9
10,BUSWEIMER_prod,10.0,10,10
11,LCOM5_prod,11.0,11,11
11,CONNECTIVITY_test,11.0,11,11
11,IFC_test,11.0,11,11
11,csm_FE,11.0,11,11
11,LCOM2_test,11.0,11,11
11,LCOM2_prod,11.0,11,11
12,COH_prod,12.0,12,12
13,HALSTEAD_test,13.0,13,13
13,LOC_test,13.0,13,13
13,prod_readability,13.0,13,13
13,NOPA_prod,13.0,13,13
14,BUSWEIMER_test,14.0,14,14
14,CONNECTIVITY_prod,14.0,14,14
15,LCOM4_test,15.0,15,15
16,CBO_test,16.0,16,16
17,DAC_prod,17.0,17,17
17,csm_MC,17.0,17,17
17,IFC_prod,17.0,17,17
17,NOA_prod,17.0,17,17
17,ICH_prod,17.0,17,17
18,DAC2_prod,18.0,18,18
18,NOP_prod,18.0,18,18
19,COH_test,19.0,19,19
19,isEagerTest,19.0,19,19
19,ICH_test,19.0,19,19
20,isSensitiveEquality,20.0,20,20
20,LCOM3_test,20.0,20,20
21,LCOM5_test,21.0,21,21
21,isMysteryGuest,21.0,21,21
21,NOA_test,21.0,21,21
21,DAC_test,21.0,21,21
21,csm_Blob,21.0,21,21
21,csm_SC,21.0,21,21
22,isForTestersOnly,22.0,22,22
22,isResourceOptimism,22.0,22,22
22,NOP_test,22.0,22,22
22,isIndirectTesting,22.0,22,22
22,csm_CC,22.0,22,22
22,DAC2_test,22.0,22,22
22,csm_LM,22.0,22,22
22,TCC_test,22.0,22,22
22,NOPA_test,22.0,22,22
