,0,1,2,3,4,5,6,7,8,9
isAssertionRoulette,0.00815466856809845,0.006556687352443128,0.005906031475750489,0.008083443382278897,0.005708092906410759,0.005340100600202165,0.006217211296960257,0.007115895225431812,0.007448552930320685,0.005100695306615702
isEagerTest,0.0022648281203768356,0.0011790560916542993,0.0037634953227964193,0.002011953226220864,0.0032288069186449946,0.0031089503988022756,0.0023999993137658786,0.0025919711881469978,0.0020363234787853985,0.0011454925049713396
isLazyTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isMysteryGuest,0.006921625950187777,0.005533834584712799,0.008439440708068872,0.006210599689677381,0.0057794329654961485,0.004668325000243407,0.006254030189636486,0.0081008695972026,0.005552363288647713,0.006531788259865802
isSensitiveEquality,0.0013032185066991606,0.0011975788130341237,0.0009337735695058488,0.0015808425828167788,0.002248338337790777,0.001833069159853245,0.0011673645228652302,0.0011830822238789492,0.0013226518683189608,0.0014088129093845104
isResourceOptimism,0.0008739008827992129,0.002194690296053838,0.00047105754607447637,0.0005049988243057931,0.0017553361223783329,0.0018863168156758394,0.0,0.0009277264528808621,0.0017004748640492527,0.0018371842214269833
isForTestersOnly,0.00022576059878258572,0.0009976481070504322,0.0001665564340888564,0.0008066406291749986,0.0002046559217829443,0.0006672210726553046,0.001255159263181002,0.00026651547775397087,0.0011195831146251117,0.00041501466936730004
isIndirectTesting,0.00025123416013687216,0.0005337600180424865,0.0007203135202942264,0.000431387632960169,0.001328481829103395,0.0011284720291859414,0.0016625935784829377,0.0019995644935377668,0.0017388839075666406,0.0010554704818168817
LOC_prod,0.027237054471715625,0.02486481920831921,0.03544362637681115,0.0298403575238179,0.028240140802035255,0.024231440554478713,0.0326618581274158,0.03144782391680759,0.02986686629891635,0.024853847392072567
HALSTEAD_prod,0.01405136982669865,0.014341875191584814,0.012656598986533032,0.012476146780664311,0.013139880198899362,0.014636278332371615,0.014799258533818352,0.012953232781156466,0.015498917135503805,0.015415870548826972
RFC_prod,0.09997454469620683,0.06837663681624401,0.10158995391743743,0.07054264393477977,0.07354292682969187,0.10762583120141622,0.11554365528542737,0.09414543721545122,0.08733809581482112,0.07904623230850315
CBO_prod,0.03731124397198417,0.02804620732424771,0.0281902525591753,0.04099118834156489,0.033916790252300086,0.028515383608132293,0.03438057866203253,0.02615958391912943,0.03379472876695709,0.03989712729481212
MPC_prod,0.01871894295373043,0.028936242799338874,0.019564991353442484,0.019720351454885498,0.014671591399157136,0.01929772295722004,0.01806853796523246,0.01862666622191014,0.03192487396716343,0.02772602691984745
IFC_prod,0.01135333751187072,0.013231056759853673,0.015717251076450774,0.010523390421375189,0.011785923353196026,0.010852263132745192,0.010652452787642843,0.012726948335365395,0.01307327182468741,0.0077483479437119055
DAC_prod,0.008841783587998087,0.006725402555274881,0.005200004990151543,0.009507343292518672,0.007476202782151402,0.009448714155027385,0.00679038670610923,0.007052398438644494,0.004188626825393488,0.005748909506781098
DAC2_prod,0.008884921448407728,0.010381420094828954,0.014005722088188653,0.013759428782966312,0.010929484372278718,0.009989622787732423,0.012306750176016634,0.013307909943809204,0.010543366979607966,0.008115887562511515
LCOM1_prod,0.05176643607563976,0.034378546922580716,0.015058797329525274,0.0429110261850216,0.08425599995907838,0.04939385804233392,0.037893402848815434,0.08115173600476519,0.04764151666711809,0.05049616121101071
LCOM2_prod,0.030913836915154664,0.03194520387429962,0.03020610581183864,0.03153317285609728,0.029783840304625903,0.026019302024500125,0.02634276385130343,0.01944980780574301,0.029649648185823527,0.030637876752056172
LCOM3_prod,0.00459143681470341,0.004764187845490834,0.004281695816326279,0.006331401967404514,0.002578765812065076,0.006224371062180013,0.0033817974654446214,0.00418346911038795,0.00573007440049282,0.002536792549611472
LCOM4_prod,0.004643435398548468,0.014796281292596948,0.006257340040913541,0.004633122997576583,0.006457260901232312,0.003826171253406836,0.004253865578632564,0.013908870380695475,0.005814577794087806,0.00421337187748767
CONNECTIVITY_prod,0.0084537713406158,0.009034618249167117,0.00818274392757299,0.012397221896707455,0.009966811409671594,0.0097621049167797,0.007959330607581546,0.007014659211073133,0.009529261151854046,0.007963159435979202
LCOM5_prod,0.006290486792625437,0.005673489079219023,0.009186481209941264,0.007452938232083079,0.00565590735544905,0.0036746697788324445,0.005255614339309208,0.005733159188866033,0.0036143410788016636,0.007918800017040989
COH_prod,0.014922414723604772,0.01741544072034023,0.017272362183304288,0.007602411805954126,0.012506332524172959,0.018549005081755072,0.01289549498724184,0.012134912527528558,0.015548759689941686,0.01283459641750515
TCC_prod,0.0011650575928764727,0.001481844936694264,0.0010690326420451854,0.0014113847468269715,0.0009487986600689296,0.001987456949370655,0.0014331845872405267,0.0018295789545769371,0.0011087091535122592,0.0021210776287516695
LCC_prod,0.001388399974529087,0.001196977108746722,0.002453128975860713,0.0020786765225836797,0.0020873985949512743,0.0016379578216509038,0.0022125038113618785,0.0025377826893490996,0.0042637955566981285,0.0024665777089350484
ICH_prod,0.0071969644006045965,0.008180707111971637,0.00812090536896819,0.007394991796491391,0.009915604329760512,0.00465159529316663,0.00714759133162833,0.007541495530845531,0.00570163948290814,0.006411948212288783
WMC_prod,0.04762516595801764,0.06025923428330511,0.056158670481188874,0.03632744719866694,0.0248620819577605,0.0371895018818069,0.06396922274430156,0.041000352870064066,0.054073254450903184,0.02615280966377451
NOA_prod,0.006307418058549033,0.005672870379067654,0.00348677871674707,0.0037950787168131274,0.0037124577852989077,0.0062401619099183145,0.004232347463061976,0.004687033962099199,0.004579461161502763,0.006513775860493608
NOPA_prod,0.010273199379382685,0.013978186808504213,0.008709666504978923,0.012788012561024109,0.013239054141043849,0.014311875516805244,0.015096784654004306,0.011818187547642587,0.014371952270934674,0.011697920817927131
NOP_prod,0.006390969842862652,0.010692273494317457,0.00925446910417409,0.007571924697280547,0.011600730946940143,0.007449324875226848,0.012263192189240962,0.011420241370899429,0.009868153209610273,0.008128390887282233
McCABE_prod,0.14067999576768625,0.16358994269010127,0.17667150444829258,0.19278269169137985,0.16646894664396344,0.14824251768523078,0.1337603334981553,0.1398868485082874,0.13886533245522842,0.1870506197779214
BUSWEIMER_prod,0.005264878999371207,0.003859608383173197,0.0044545450700535045,0.003730545395591738,0.006855030810383416,0.0037714205159075174,0.004592031604449077,0.004282506234106898,0.005468386122526556,0.0037696287226283566
LOC_test,0.016919852483902056,0.01414757494219799,0.019433416105901612,0.016648820162524343,0.01679156472438471,0.018256608897447537,0.016330719669902016,0.01733126090017101,0.012805219817222676,0.01854239316024841
HALSTEAD_test,0.019745007610257943,0.015605470976202117,0.02105009033967971,0.018435791453914965,0.019314220424644056,0.019803700934405314,0.01940752438777106,0.01510001475129974,0.01996254540629315,0.01642230257962626
