metrics,rel,d-value
isAssertionRoulette,-,0.22 (small)
LOC_prod,+,0.18 (small)
RFC_prod,+,0.27 (small)
CBO_prod,+,0.3 (small)
MPC_prod,+,0.27 (small)
DAC_prod,+,0.17 (small)
DAC2_prod,+,0.16 (small)
LCOM1_prod,+,0.26 (small)
LCOM2_prod,+,0.27 (small)
LCOM4_prod,+,0.15 (small)
WMC_prod,+,0.23 (small)
NOPA_prod,+,0.18 (small)
NOP_prod,+,0.16 (small)
McCABE_prod,+,0.22 (small)
LOC_test,-,0.18 (small)
HALSTEAD_test,-,0.18 (small)
RFC_test,-,0.19 (small)
MPC_test,-,0.16 (small)
LCOM1_test,-,0.22 (small)
LCOM2_test,-,0.19 (small)
LCOM4_test,-,0.26 (small)
CONNECTIVITY_test,-,0.17 (small)
WMC_test,-,0.26 (small)
McCABE_test,-,0.18 (small)
csm_MC,+,0.22 (small)
csm_FE,+,0.18 (small)
