metrics,rel,d-value
line_coverage,-,0.64 (large)
isEagerTest,+,0.27 (small)
LOC_prod,+,0.36 (medium)
HALSTEAD_prod,+,0.38 (medium)
RFC_prod,+,0.42 (medium)
CBO_prod,+,0.23 (small)
MPC_prod,+,0.38 (medium)
DAC_prod,+,0.4 (medium)
DAC2_prod,+,0.4 (medium)
LCOM1_prod,+,0.43 (medium)
LCOM2_prod,+,0.35 (medium)
LCOM3_prod,+,0.43 (medium)
LCOM4_prod,+,0.43 (medium)
CONNECTIVITY_prod,+,0.17 (small)
LCOM5_prod,+,0.23 (small)
COH_prod,-,0.41 (medium)
TCC_prod,+,0.31 (small)
LCC_prod,+,0.35 (medium)
ICH_prod,+,0.24 (small)
WMC_prod,+,0.45 (medium)
NOA_prod,+,0.41 (medium)
NOP_prod,+,0.43 (medium)
McCABE_prod,+,0.46 (medium)
RFC_test,-,0.21 (small)
MPC_test,-,0.2 (small)
LCOM1_test,-,0.27 (small)
LCOM2_test,-,0.27 (small)
LCC_test,-,0.27 (small)
WMC_test,-,0.26 (small)
McCABE_test,-,0.25 (small)
csm_MC,+,0.21 (small)
csm_FE,+,0.22 (small)
