metrics,rel,d-value
line_coverage,-,0.85 (large)
isEagerTest,+,0.29 (small)
LOC_prod,+,0.37 (medium)
HALSTEAD_prod,+,0.37 (medium)
RFC_prod,+,0.46 (medium)
CBO_prod,+,0.26 (small)
MPC_prod,+,0.43 (medium)
DAC_prod,+,0.17 (small)
DAC2_prod,+,0.15 (small)
LCOM1_prod,+,0.45 (medium)
LCOM2_prod,+,0.34 (medium)
LCOM3_prod,+,0.32 (small)
LCOM4_prod,+,0.39 (medium)
LCOM5_prod,+,0.34 (medium)
COH_prod,-,0.28 (small)
TCC_prod,+,0.32 (small)
LCC_prod,+,0.37 (medium)
ICH_prod,+,0.19 (small)
WMC_prod,+,0.46 (medium)
NOA_prod,+,0.17 (small)
NOP_prod,+,0.34 (medium)
McCABE_prod,+,0.51 (large)
LOC_test,-,0.17 (small)
RFC_test,-,0.31 (small)
MPC_test,-,0.29 (small)
LCOM1_test,-,0.36 (medium)
LCOM2_test,-,0.35 (medium)
LCOM4_test,-,0.19 (small)
LCC_test,-,0.29 (small)
WMC_test,-,0.36 (medium)
McCABE_test,-,0.34 (medium)
csm_MC,+,0.23 (small)
csm_FE,+,0.26 (small)
prod_readability,+,0.16 (small)
