metrics,rel,d-value
isAssertionRoulette,+,0.25 (small)
isEagerTest,+,0.18 (small)
LOC_prod,+,0.41 (medium)
HALSTEAD_prod,+,0.36 (medium)
RFC_prod,+,0.47 (large)
CBO_prod,+,0.42 (medium)
MPC_prod,+,0.49 (large)
DAC_prod,+,0.18 (small)
DAC2_prod,+,0.26 (small)
LCOM1_prod,+,0.35 (medium)
LCOM2_prod,+,0.27 (small)
LCOM3_prod,+,0.33 (small)
LCOM4_prod,+,0.35 (medium)
LCOM5_prod,+,0.17 (small)
COH_prod,-,0.2 (small)
TCC_prod,+,0.3 (small)
LCC_prod,+,0.37 (medium)
WMC_prod,+,0.37 (medium)
NOA_prod,+,0.19 (small)
NOP_prod,+,0.19 (small)
McCABE_prod,+,0.41 (medium)
LOC_test,-,0.18 (small)
RFC_test,-,0.23 (small)
MPC_test,-,0.2 (small)
LCOM1_test,-,0.32 (small)
LCOM2_test,-,0.29 (small)
LCC_test,-,0.27 (small)
WMC_test,-,0.34 (medium)
McCABE_test,-,0.35 (medium)
csm_Blob,+,0.16 (small)
csm_MC,+,0.34 (medium)
csm_FE,+,0.36 (medium)
