metrics,rel,d-value
isAssertionRoulette,+,0.21 (small)
isEagerTest,+,0.22 (small)
LOC_prod,+,0.36 (medium)
HALSTEAD_prod,+,0.25 (small)
RFC_prod,+,0.37 (medium)
CBO_prod,+,0.41 (medium)
MPC_prod,+,0.37 (medium)
DAC_prod,+,0.22 (small)
DAC2_prod,+,0.29 (small)
LCOM1_prod,+,0.28 (small)
LCOM2_prod,+,0.2 (small)
LCOM3_prod,+,0.37 (medium)
LCOM4_prod,+,0.35 (medium)
CONNECTIVITY_prod,+,0.16 (small)
TCC_prod,+,0.34 (medium)
LCC_prod,+,0.35 (medium)
WMC_prod,+,0.31 (small)
NOA_prod,+,0.23 (small)
NOP_prod,+,0.23 (small)
McCABE_prod,+,0.31 (small)
RFC_test,-,0.25 (small)
MPC_test,-,0.22 (small)
LCOM1_test,-,0.31 (small)
LCOM2_test,-,0.26 (small)
LCOM4_test,-,0.22 (small)
CONNECTIVITY_test,-,0.27 (small)
LCC_test,-,0.24 (small)
ICH_test,-,0.18 (small)
WMC_test,-,0.33 (medium)
McCABE_test,-,0.33 (medium)
csm_MC,+,0.33 (small)
csm_FE,+,0.39 (medium)
test_readability,+,0.21 (small)
