metrics,rel,d-value
isAssertionRoulette,+,0.25 (small)
isEagerTest,+,0.16 (small)
LOC_prod,+,0.28 (small)
HALSTEAD_prod,+,0.24 (small)
RFC_prod,+,0.31 (small)
CBO_prod,+,0.28 (small)
MPC_prod,+,0.3 (small)
LCOM1_prod,+,0.23 (small)
LCOM2_prod,+,0.16 (small)
LCOM3_prod,+,0.28 (small)
LCOM4_prod,+,0.28 (small)
LCOM5_prod,+,0.16 (small)
TCC_prod,+,0.27 (small)
LCC_prod,+,0.3 (small)
WMC_prod,+,0.26 (small)
NOP_prod,+,0.16 (small)
McCABE_prod,+,0.27 (small)
LOC_test,-,0.15 (small)
RFC_test,-,0.26 (small)
MPC_test,-,0.24 (small)
IFC_test,-,0.2 (small)
LCOM1_test,-,0.31 (small)
LCOM2_test,-,0.26 (small)
CONNECTIVITY_test,-,0.18 (small)
LCC_test,-,0.32 (small)
WMC_test,-,0.34 (medium)
McCABE_test,-,0.36 (medium)
csm_MC,+,0.23 (small)
csm_FE,+,0.28 (small)
