project,className,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WMC,NOA,NOPA,NOP,McCABE,BUSWEIMER
junit4,org.junit.internal.runners.statements.FailOnTimeout,311,3340.7761133190775,39,12,28,2,5,5,51,47,4,11,0.022222222222222223,2,0.2,0,0,0.9,11,5,0,5,40,0.0
junit4,org.junit.internal.runners.statements.FailOnTimeout,5369,4934.923222741498,43,12,0,0,182,23,902,901,1,1,-0.047619047619047616,0,2.555583950932788E-4,0,0,0.0,43,182,0,5,44,0.0
junit4,org.junit.internal.runners.InitializationError,37,189.4889276323629,5,2,1,1,2,2,5,4,1,1,-0.6666666666666666,3,0.25,0,0,0.0,4,2,0,2,5,0.057022176682949066
junit4,org.junit.internal.runners.TestClass,109,760.0022260475076,31,12,19,2,1,1,56,46,10,19,0.14545454545454545,7,0.4166666666666667,1,2,1.1111111111111112,12,1,0,1,34,0.0
junit4,org.junit.internal.runners.JUnit38ClassRunner,180,1272.047820741646,49,19,37,3,1,1,51,36,15,21,0.18181818181818182,6,0.5,0,1,1.5454545454545454,12,1,0,1,30,0.0
junit4,org.junit.internal.runners.SuiteMethod,41,351.89078351986973,9,4,7,7,0,0,1,1,0,1,0.0,0,0.0,0,0,1.0,2,0,0,0,7,0.05561308562755585
junit4,org.junit.internal.runners.FailedBefore,13,140.17741925632959,0,1,0,0,1,1,0,0,0,0,1.0,0,NaN,0,0,0.0,0,1,0,1,0,0.9575714468955994
junit4,org.junit.internal.runners.ClassRoadie,81,569.8989733849348,19,8,13,6,4,4,10,5,5,10,0.5,1,0.375,0,0,2.5,6,4,0,4,15,0.0
junit4,org.junit.internal.runners.MethodRoadie,162,1187.7895635255718,60,15,48,6,4,4,50,34,16,33,0.4,2,0.3333333333333333,1,1,2.125,12,4,0,4,41,0.0
junit4,org.junit.internal.runners.TestMethod,71,504.10975493232263,21,9,12,12,2,2,23,10,13,15,0.25,5,0.4444444444444444,1,1,3.0,9,2,0,2,21,0.0
junit4,org.junit.internal.runners.JUnit4ClassRunner,147,1011.7214684629339,70,17,50,2,2,2,159,128,31,53,0.19883040935672514,14,0.3,1,1,1.4,20,2,0,2,47,0.0
junit4,org.junit.internal.runners.MethodValidator,97,774.0636389179235,27,11,20,5,2,2,8,0,13,15,0.6,3,0.6428571428571429,1,1,1.25,7,2,0,2,16,0.0
junit4,org.junit.internal.runners.ErrorReportingRunner,68,380.4265834853838,19,8,13,2,2,2,10,5,5,8,0.3,3,0.5,1,1,0.8333333333333334,6,2,0,2,16,0.0
junit4,org.junit.internal.runners.JUnit4ClassRunner,2700,585.5437332096583,39,17,0,0,115,9,741,741,0,0,-0.05405405405405406,0,2.229654403567447E-4,0,0,0.0,39,115,0,1,46,0.0
junit4,org.junit.internal.runners.JUnit38ClassRunner,3345,885.0439980494274,34,19,0,0,118,11,555,549,6,6,-0.05113636363636364,0,9.970089730807576E-4,0,0,0.0,34,118,0,1,37,0.0
junit4,org.junit.internal.runners.TestClass,2155,385.03405822069465,27,12,0,0,84,11,351,351,0,0,-0.08,0,0.0,0,0,0.0,27,84,0,0,31,0.0
junit4,org.junit.internal.runners.ErrorReportingRunner,1390,341.1133533963511,18,8,0,0,107,11,153,153,0,0,-0.125,0,0.0,0,0,0.0,18,107,0,0,20,0.0
junit4,org.junit.internal.runners.SuiteMethod,834,203.6157051895147,4,4,0,0,86,11,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,86,0,0,4,0.0
junit4,org.junit.internal.runners.TestMethod,1402,383.49332798286196,18,9,0,0,82,13,153,153,0,0,-0.125,0,0.0020325203252032522,0,0,0.0,18,82,0,2,22,0.0
junit4,org.junit.internal.runners.rules.RuleMemberValidator,279,1780.1583574833157,18,10,10,1,3,3,25,22,3,5,-0.09523809523809523,1,0.125,0,0,0.6666666666666666,8,7,4,3,15,0.0
junit4,org.junit.internal.runners.rules.ValidationError,11,66.64409020350408,4,2,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,8.796401671133935E-4
junit4,org.junit.internal.runners.rules.RuleMemberValidator,4213,2254.25445668478,8,10,0,0,107,2,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,111,4,1,8,0.0
junit4,org.junit.internal.runners.model.ReflectiveCallable,19,178.09602229600105,4,1,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,6,0.8052237033843994
junit4,org.junit.internal.runners.model.MultipleFailureException,12,57.93976484762761,1,1,0,0,1,1,0,0,0,0,1.0,1,0.0,0,0,0.0,1,1,0,1,1,0.19975394010543823
junit4,org.junit.internal.runners.model.EachTestNotifier,48,250.19731529727295,15,5,8,4,2,2,6,0,15,16,0.6666666666666666,1,0.8571428571428571,2,2,2.5,7,2,0,2,15,0.0
junit4,org.junit.internal.matchers.ThrowableMessageMatcher,37,208.1237765977922,12,4,7,7,1,1,0,0,10,10,1.0,0,1.0,1,1,0.0,5,1,0,1,7,1.4476328215096146E-4
junit4,org.junit.internal.matchers.StacktracePrintingMatcher,56,409.9171183522607,14,5,7,3,1,1,11,1,10,11,0.3333333333333333,2,0.7142857142857143,0,0,1.0,7,1,0,1,17,0.0
junit4,org.junit.internal.matchers.ThrowableCauseMatcher,50,445.99704613364133,12,4,7,7,1,1,4,0,6,6,0.3333333333333333,1,0.8,0,0,0.0,5,1,0,1,9,2.0649934594985098E-4
junit4,org.junit.internal.matchers.TypeSafeMatcher,63,750.1885425057823,18,3,12,4,1,1,12,9,3,6,0.1,3,0.5,0,0,1.0,6,1,0,1,16,0.0
junit4,org.junit.internal.matchers.ThrowableCauseMatcherTest,18,57.820355488256645,4,4,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.5803181529045105
junit4,org.junit.internal.matchers.StacktracePrintingMatcherTest,38,148.49371912089873,16,10,13,13,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,6,0.010389520786702633
junit4,org.junit.internal.matchers.StacktracePrintingMatcher,1090,299.6266719045692,12,5,0,0,77,9,66,66,0,0,-0.2,0,0.0010822510822510823,0,0,0.0,12,77,0,0,13,0.0
