project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,org.apache.commons.collections4.IterableUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/IterableUtils.java,org.apache.commons.collections4.IterableUtils,0.5131964809384164,341.0,0.5669291338582677,1,1,0,0,0,0,0,1,1101,7029.603354244952,178,11,121,1,1,1,1596,1596,0,326,0.17532467532467533,56,0.017543859649122806,3,8,0.9292929292929292,57,1,0,0,207,0.0,630,2627.397797595511,140,19,105,105,5,3,561,527,34,36,0.0035650623885918,8,0.10285714285714287,1,9,0.0,35,5,0,5,86,0.0,0,1,0,1,1,1,0,0,0.6432756862397921,0.6911324288163866
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,org.apache.commons.collections4.IteratorUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,0.4327586206896552,580.0,0.5066079295154186,1,1,0,0,0,0,0,0,1545,8636.872006180709,137,47,67,1,8,6,2414,2413,1,14,-0.02344416027280477,10,0.010714285714285714,0,1,0.55,70,8,5,3,296,0.0,1168,4232.921573512648,268,34,231,77,5,3,650,634,16,26,-0.015873015873015872,8,0.06486486486486487,0,27,3.333333333333333,37,5,0,5,89,0.0,0,1,0,1,1,1,0,1,0.649927863904408,0.6514845859460734
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/MultiSetUtilsTest.java,org.apache.commons.collections4.MultiSetUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/MultiSetUtils.java,org.apache.commons.collections4.MultiSetUtils,1.0,12.0,0.8571428571428571,1,0,0,0,0,0,0,0,118,1107.1084983203302,8,4,3,0,1,1,10,10,0,0,-0.6666666666666666,4,0.2,0,0,0.75,5,1,1,0,17,0.0,129,589.6355909363863,29,6,22,22,2,2,15,9,6,6,0.0,5,0.35714285714285715,0,2,0.0,7,2,0,2,17,0.0,0,0,0,0,0,0,0,0,0.7295733690261841,0.8497548529079982
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/TrieUtilsTest.java,org.apache.commons.collections4.TrieUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/TrieUtils.java,org.apache.commons.collections4.TrieUtils,1.0,4.0,0.5,0,0,0,0,0,0,0,0,48,321.4623716724392,3,1,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,1.0,2,0,0,0,5,0.6286308169364929,48,194.4289867430504,5,4,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,4,0.01929769478738308,0,0,0,0,0,0,0,0,0.8253342807292938,0.5548041462898254
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/MultiMapUtilsTest.java,org.apache.commons.collections4.MultiMapUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/MultiMapUtils.java,org.apache.commons.collections4.MultiMapUtils,0.65,80.0,0.7096774193548387,1,1,0,0,0,0,0,0,253,1938.307416489788,19,10,7,3,1,1,65,64,1,1,-0.18181818181818185,10,0.16666666666666666,0,0,1.0,12,1,1,0,34,0.0,160,504.20951805959237,57,10,47,47,0,0,45,45,0,0,-0.25,0,0.0,0,8,0.0,10,0,0,0,19,0.0,0,0,0,0,0,0,0,0,0.7308717221021652,0.5564022809267044
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/TransformerUtilsTest.java,org.apache.commons.collections4.TransformerUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/TransformerUtils.java,org.apache.commons.collections4.TransformerUtils,0.9784946236559141,93.0,0.9714285714285714,1,1,0,0,1,0,0,0,485,3724.354956357885,53,17,29,1,0,0,276,276,0,8,-0.05928853754940711,0,0.0,0,0,0.8,24,0,0,0,105,0.0,496,2104.439888157457,119,19,100,100,3,1,126,81,45,45,0.17647058823529413,5,0.456140350877193,2,16,0.0,19,3,0,3,58,0.0,0,0,0,0,0,1,0,0,0.7301771864295006,0.35474496685875284
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/ComparatorUtilsTest.java,org.apache.commons.collections4.ComparatorUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/ComparatorUtils.java,org.apache.commons.collections4.ComparatorUtils,0.7096774193548387,62.0,0.7666666666666667,1,1,0,0,0,0,0,1,238,1965.7918218430486,18,8,7,3,1,1,40,25,15,16,0.13333333333333333,5,0.5454545454545454,1,1,1.0,11,1,1,0,36,0.0,124,363.545132887082,31,5,25,25,0,0,15,15,0,0,-0.5,0,0.0,0,3,0.0,6,0,0,0,8,0.0,0,0,0,0,0,0,0,0,0.676253614100543,0.4866660485665004
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/UnmodifiableMapIteratorTest.java,org.apache.commons.collections4.iterators.UnmodifiableMapIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/UnmodifiableMapIterator.java,org.apache.commons.collections4.iterators.UnmodifiableMapIterator,0.9642857142857144,28.0,1.0,1,1,0,0,0,0,0,0,99,610.6607983281298,12,2,4,4,1,1,13,0,15,15,0.3809523809523809,2,0.75,1,1,0.0,8,1,0,1,18,0.0,95,341.9093921257479,25,6,16,16,0,0,36,36,0,4,-0.14285714285714285,0,0.0,0,1,0.0,9,0,0,0,21,0.0,0,0,0,0,0,0,0,0,0.8365241624414921,0.6945197780927023
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/ObjectArrayIteratorTest.java,org.apache.commons.collections4.iterators.ObjectArrayIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ObjectArrayIterator.java,org.apache.commons.collections4.iterators.ObjectArrayIterator,0.6666666666666666,54.0,0.6896551724137931,0,1,0,0,0,0,0,0,178,1241.796009138262,11,2,1,1,4,2,26,7,19,19,0.2777777777777778,2,0.375,1,1,0.0,10,4,0,0,27,0.0,105,545.2803266570272,24,2,13,2,1,1,52,49,3,5,-0.1111111111111111,8,0.2727272727272727,0,0,0.5,11,1,0,0,23,0.0,0,0,0,0,0,0,0,0,0.9493453085422516,0.6310983381488107
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/ListIteratorWrapperTest.java,org.apache.commons.collections4.iterators.ListIteratorWrapperTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ListIteratorWrapper.java,org.apache.commons.collections4.iterators.ListIteratorWrapper,0.6073619631901841,163.0,0.625,1,1,0,0,0,0,0,0,271,1866.8953681518444,27,7,16,5,7,5,0,0,55,55,1.0,1,0.4155844155844156,5,5,4.0,11,7,0,7,40,0.0,229,976.9820575718736,34,5,27,27,2,2,17,13,4,6,0.0,5,0.35714285714285715,0,2,0.0,7,2,0,0,15,0.0,0,0,0,0,0,0,0,0,0.7760806679725647,0.6475717127323151
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/UniqueFilterIteratorTest.java,org.apache.commons.collections4.iterators.UniqueFilterIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/UniqueFilterIterator.java,org.apache.commons.collections4.iterators.UniqueFilterIterator,1.0,1.0,1.0,0,0,0,0,0,0,0,0,43,221.65935360614841,2,2,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,0.8410165309906006,86,414.9585231958706,15,4,10,10,2,2,9,8,1,2,-0.3333333333333333,4,0.3,0,0,0.0,5,2,0,0,10,0.0,0,0,0,0,0,0,0,0,0.8572415709495544,0.5889924764633179
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/LoopingListIteratorTest.java,org.apache.commons.collections4.iterators.LoopingListIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/LoopingListIterator.java,org.apache.commons.collections4.iterators.LoopingListIterator,0.8144329896907216,97.0,0.9069767441860463,1,1,0,0,0,0,0,0,263,2083.853096908352,38,4,25,12,2,2,24,0,54,56,0.6666666666666666,5,0.6538461538461539,3,3,9.0,13,2,0,2,49,0.0,369,1019.8869939871632,84,6,72,72,0,0,66,66,0,0,-0.2,0,0.0,0,18,0.0,12,0,0,0,22,0.0,0,0,0,0,0,0,0,0,0.9331725606551536,0.2557719126103725
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/PermutationIteratorTest.java,org.apache.commons.collections4.iterators.PermutationIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/PermutationIterator.java,org.apache.commons.collections4.iterators.PermutationIterator,0.9385964912280702,114.0,0.9777777777777776,1,1,0,0,0,0,0,0,158,1543.9869077367896,12,8,8,8,4,4,3,0,3,3,0.0,0,0.5625,0,0,0.0,4,4,0,4,15,0.0,194,958.3640420722054,49,7,37,37,2,2,65,64,1,6,-0.09090909090909093,11,0.125,0,5,0.0,12,2,0,0,25,0.0,0,0,0,0,0,0,0,0,0.7005789279937744,0.6099438120921453
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/FilterListIteratorTest.java,org.apache.commons.collections4.iterators.FilterListIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/FilterListIterator.java,org.apache.commons.collections4.iterators.FilterListIterator,0.7283236994219653,173.0,0.7631578947368421,1,1,0,1,1,0,0,0,285,1487.4743604467126,39,3,18,18,7,5,159,108,51,51,0.1631578947368421,2,0.217687074829932,1,1,0.0,21,7,0,7,47,0.0,447,1708.4426133295751,109,13,81,2,13,3,242,106,136,141,0.3247863247863248,1,0.18956043956043955,5,5,0.5,28,13,0,13,46,0.0,0,0,0,0,0,0,0,0,0.8875458268892198,0.622404827603272
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/SkippingIteratorTest.java,org.apache.commons.collections4.iterators.SkippingIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/SkippingIterator.java,org.apache.commons.collections4.iterators.SkippingIterator,0.967741935483871,31.0,1.0,1,1,0,0,0,0,0,1,95,888.6383696121799,7,1,3,3,2,1,0,0,6,6,1.0,1,0.875,1,1,0.0,4,2,0,2,14,0.0,299,1345.0450349758369,84,7,69,69,2,2,39,0,66,72,0.6373626373626373,9,0.43333333333333335,4,5,0.0,15,2,0,2,42,0.0,0,0,0,0,0,0,0,0,0.929488480091095,0.6991962333520253
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/ZippingIteratorTest.java,org.apache.commons.collections4.iterators.ZippingIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ZippingIterator.java,org.apache.commons.collections4.iterators.ZippingIterator,0.913793103448276,58.0,0.9714285714285714,1,1,0,0,0,0,0,0,159,1235.6268105079926,16,5,10,10,3,2,12,9,3,4,-0.1,2,0.3333333333333333,0,0,0.0,6,3,0,3,22,0.0,189,910.2177109266611,61,2,50,50,3,1,19,0,36,36,0.5777777777777777,2,0.5454545454545454,3,3,0.0,11,3,0,3,27,0.0,0,0,0,0,0,0,0,0,0.8206250766913096,0.32809931581670954
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/FilterIteratorTest.java,org.apache.commons.collections4.iterators.FilterIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/FilterIterator.java,org.apache.commons.collections4.iterators.FilterIterator,0.7941176470588235,68.0,0.8648648648648649,1,1,0,0,0,0,0,0,185,1285.3763777416884,17,3,6,6,4,4,24,0,31,31,0.4666666666666667,2,0.4545454545454545,2,2,0.0,11,4,0,4,27,0.0,223,1366.7707263613906,59,9,41,13,3,3,110,67,43,47,0.22058823529411764,6,0.2962962962962963,1,1,2.6666666666666665,18,3,0,3,43,0.0,0,0,0,0,0,0,0,0,0.9293539903380654,0.7959545304377874
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/ReverseListIteratorTest.java,org.apache.commons.collections4.iterators.ReverseListIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/ReverseListIterator.java,org.apache.commons.collections4.iterators.ReverseListIterator,0.8727272727272727,55.0,0.9393939393939394,1,1,0,0,0,0,0,0,186,1291.4335831702188,25,3,14,7,3,3,0,0,55,55,1.0,2,0.5454545454545454,5,5,5.0,11,3,0,3,32,0.0,161,680.2563780031231,41,6,34,34,1,1,21,21,0,4,-0.13333333333333333,6,0.14285714285714285,0,5,0.0,7,1,0,0,15,0.0,0,0,0,0,0,0,0,0,0.9214225899089468,0.4654012657701969
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/iterators/UnmodifiableListIteratorTest.java,org.apache.commons.collections4.iterators.UnmodifiableListIteratorTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/iterators/UnmodifiableListIterator.java,org.apache.commons.collections4.iterators.UnmodifiableListIterator,0.9722222222222222,36.0,1.0,1,0,0,0,0,0,0,0,113,638.2330212914769,17,2,6,6,1,1,27,0,28,28,0.4,3,0.7272727272727273,2,2,0.0,11,1,0,1,24,0.0,93,346.30358876259214,23,6,14,14,2,2,33,30,3,4,-0.14285714285714285,7,0.2222222222222222,0,0,0.0,9,2,0,0,21,0.0,0,0,0,0,0,0,0,0,0.8643217113885012,0.7387877802054087
