project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/EnumerationUtilsTest.java,org.apache.commons.collections4.EnumerationUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/EnumerationUtils.java,org.apache.commons.collections4.EnumerationUtils,0.8611111111111112,36.0,0.9285714285714286,1,1,0,0,0,0,0,0,95,987.3494863133864,12,5,8,8,0,0,6,6,0,1,-0.6666666666666666,0,0.0,0,0,1.0,4,0,0,0,14,0.0,110,511.5221790604813,26,10,23,23,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,2,0.0,3,1,1,0,6,0.0,0,0,0,0,0,0,0,0,0.7709059566259384,0.30396295587221783
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/SplitMapUtilsTest.java,org.apache.commons.collections4.SplitMapUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/SplitMapUtils.java,org.apache.commons.collections4.SplitMapUtils,0.7142857142857143,28.0,0.6666666666666666,1,0,0,0,0,0,0,0,271,1557.2351475026874,4,8,1,1,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,9,0.0,240,1005.7397478744971,87,12,66,11,3,3,207,204,3,19,-0.005263157894736842,9,0.09523809523809523,0,1,0.8333333333333334,21,3,0,3,30,0.0,0,0,0,0,0,0,0,0,0.8491320364615497,0.8053001569850105
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/ClosureUtilsTest.java,org.apache.commons.collections4.ClosureUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/ClosureUtils.java,org.apache.commons.collections4.ClosureUtils,0.972972972972973,74.0,0.9655172413793104,1,1,0,0,1,0,0,0,375,2884.8882694409776,41,12,24,1,0,0,136,136,0,8,-0.06666666666666668,0,0.0,0,0,0.75,17,0,0,0,65,0.0,425,1551.7704517189316,77,12,65,65,1,1,66,66,0,0,-0.2,11,0.08333333333333333,0,10,0.0,12,1,0,1,24,0.0,0,0,0,0,0,1,0,0,0.6543702018611571,0.4470562047635516
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/QueueUtilsTest.java,org.apache.commons.collections4.QueueUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/QueueUtils.java,org.apache.commons.collections4.QueueUtils,1.0,15.0,0.8571428571428571,0,0,0,0,0,0,0,0,139,1288.5080332936398,10,6,4,0,1,1,15,15,0,0,-0.5,5,0.16666666666666666,0,0,0.6666666666666666,6,1,1,0,22,0.0,120,490.9780104331694,23,11,18,18,2,2,10,10,0,0,-0.6666666666666666,4,0.2,0,4,0.0,5,2,0,0,17,0.0,0,0,0,0,0,0,0,0,0.721789762377739,0.6298566937446595
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/MapUtilsTest.java,org.apache.commons.collections4.MapUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/MapUtils.java,org.apache.commons.collections4.MapUtils,0.8351648351648352,728.0,0.9283387622149836,1,1,0,0,1,0,0,0,1805,10631.546443578023,213,30,139,0,2,2,2701,2701,0,36,-0.014079147640791476,74,0.006756756756756757,0,2,0.3825503355704698,74,2,1,1,276,0.0,1168,4771.898087336196,326,31,266,266,0,0,1770,1770,0,3,-0.03272939801285798,0,0.0,0,35,0.0,60,0,0,0,93,0.0,0,1,0,1,1,1,0,1,0.7092646120770557,0.5849998561184733
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/PredicateUtilsTest.java,org.apache.commons.collections4.PredicateUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/PredicateUtils.java,org.apache.commons.collections4.PredicateUtils,0.8235294117647058,102.0,0.78125,1,1,0,0,0,0,0,0,539,2962.018633005036,61,23,31,1,0,0,435,435,0,10,-0.04679802955665025,0,0.0,0,0,1.125,30,0,0,0,112,0.0,722,2313.717943717324,251,18,186,186,0,0,2080,2080,0,0,-0.031746031746031744,0,0.0,0,15,0.0,65,0,0,0,74,0.0,0,0,0,0,0,1,0,0,0.7582334160804749,0.5118473090804541
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/SetUtilsTest.java,org.apache.commons.collections4.SetUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/SetUtils.java,org.apache.commons.collections4.SetUtils,0.6277372262773723,137.0,0.7346938775510204,1,1,0,0,0,0,0,1,644,4525.041384326093,91,20,54,2,1,1,666,666,0,45,0.014285714285714284,36,0.027027027027027032,1,2,1.24,37,1,1,0,131,0.0,257,1088.73832321002,65,13,54,54,2,1,45,35,10,10,0.0,6,0.4545454545454545,0,4,0.0,11,2,0,2,22,0.0,0,0,0,1,0,1,0,0,0.7820870294457389,0.5971365814859216
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,org.apache.commons.collections4.FactoryUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/FactoryUtils.java,org.apache.commons.collections4.FactoryUtils,1.0,18.0,0.8571428571428571,1,1,0,0,0,0,0,0,150,1321.3023620294953,13,4,6,0,0,0,21,21,0,2,-0.26666666666666666,0,0.0,0,0,0.6666666666666666,7,0,0,0,21,0.0,275,1175.3110156503406,77,13,61,61,0,0,120,120,0,0,-0.14285714285714285,0,0.0,0,8,0.0,16,0,0,0,26,0.0,0,0,0,0,0,0,0,0,0.7483770421573094,0.7516916346549988
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/ListUtilsTest.java,org.apache.commons.collections4.ListUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/ListUtils.java,org.apache.commons.collections4.ListUtils,0.7209302325581395,258.0,0.88,1,1,0,0,0,0,0,0,699,6810.243464185755,72,17,48,2,0,0,276,276,0,4,-0.07509881422924901,0,0.0,0,1,0.5714285714285714,24,0,0,0,108,0.0,478,2374.3321223173466,138,11,112,112,10,5,269,213,56,56,0.10333333333333332,2,0.14615384615384616,2,10,0.0,26,10,0,10,45,0.0,0,0,0,1,0,1,0,0,0.7133974946207471,0.5984351789722075
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/BagUtilsTest.java,org.apache.commons.collections4.BagUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/BagUtils.java,org.apache.commons.collections4.BagUtils,0.7714285714285715,35.0,0.7333333333333333,0,0,0,0,0,0,0,0,261,1718.043359359037,21,11,9,0,2,1,66,66,0,0,-0.2,11,0.08333333333333333,0,0,0.6923076923076923,12,2,2,0,47,0.0,176,661.0803156937764,34,13,26,26,2,2,26,24,2,2,-0.2380952380952381,6,0.25,0,6,0.0,8,2,0,0,26,0.0,0,0,0,0,0,1,0,0,0.7015291775266329,0.6318859085440636
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/FluentIterableTest.java,org.apache.commons.collections4.FluentIterableTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/FluentIterable.java,org.apache.commons.collections4.FluentIterable,0.9788732394366196,142.0,1.0,1,1,0,0,1,0,0,1,503,3834.451764785044,84,7,50,2,1,1,210,0,351,387,0.6704545454545454,7,0.7941176470588235,10,10,1.4285714285714286,34,1,0,1,102,0.0,552,2216.705122580841,207,18,176,176,6,3,290,115,175,186,0.3586206896551724,4,0.25268817204301075,6,20,41.0,31,6,0,6,56,0.0,0,0,0,0,0,0,0,0,0.8611477140118095,0.5692835767422953
commons-collections,,483cbbbf5a8b3c14edf3e6563e8f8ba380966d47,/home/ubuntu/scripts_mutation/projects/commons-collections/src/test/java/org/apache/commons/collections4/CollectionUtilsTest.java,org.apache.commons.collections4.CollectionUtilsTest,/home/ubuntu/scripts_mutation/projects/commons-collections/src/main/java/org/apache/commons/collections4/CollectionUtils.java,org.apache.commons.collections4.CollectionUtils,0.8547854785478548,909.0,0.9827089337175792,1,1,0,0,1,0,0,1,1916,13961.405390370313,226,22,155,1,1,1,2485,2485,0,61,-0.003726708074534162,70,0.014084507042253518,0,4,0.5196078431372549,71,1,1,0,315,0.0,1959,10779.719839273901,604,35,483,28,16,9,6534,5808,726,763,0.09005602240896357,7,0.05423553719008264,6,43,5.0588235294117645,121,16,0,15,202,0.0,0,1,0,1,1,1,0,0,0.6702302002731492,0.5332431197089474
