project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
gson,com.google.gson.metrics.CollectionsDeserializationBenchmark,false,false,false,false,false,true,false,true,140,1,0,0.3333333333333333,0,1.0,11,35,18,40,5
gson,com.google.gson.metrics.SerializationBenchmark,false,false,false,false,false,false,false,false,53,1,0,-1.0,0,1.0,5,4,5,7,3
gson,com.google.gson.metrics.BagOfPrimitives,false,false,false,false,false,false,false,false,95,0,2,0.6,2,3.0,0,6,15,13,7
gson,com.google.gson.metrics.ParseBenchmark,false,false,false,false,false,true,false,false,389,1,0,-0.03636363636363636,0,1.5,23,12,26,24,12
gson,com.google.gson.metrics.BagOfPrimitivesDeserializationBenchmark,false,false,false,false,false,false,false,true,123,2,0,0.3333333333333333,0,1.0,7,28,17,33,5
gson,com.google.gson.metrics.PerformanceTest,false,false,false,false,false,true,false,false,346,4,3,0.6263736263736264,4,3.0,11,50,39,65,15
gson,com.google.gson.codegen.GeneratedTypeAdapterProcessor,false,false,false,false,false,true,false,true,61,0,0,0.0,0,1.0,12,19,7,21,2
gson,com.google.gson.codegen.CodeGen,false,false,false,false,false,false,false,false,53,0,0,-0.3333333333333333,0,0.5,4,12,9,16,4
gson,com.google.gson.codegen.JavaWriter,false,false,false,false,false,false,false,true,443,3,4,0.4707692307692308,4,1.4782608695652173,10,76,87,103,27
gson,com.google.gson.codegen.functional.Order,false,false,false,false,false,false,false,false,37,1,0,0.0,0,0.0,1,0,5,3,3
gson,com.google.gson.codegen.functional.CodeGenFunctionalTest,false,false,false,false,false,false,false,false,26,0,0,1.0,0,0.0,1,0,1,1,1
gson,com.google.gson.examples.android.GsonProguardExampleActivity,false,false,false,false,false,false,false,false,60,0,0,0.0,0,0.0,8,10,3,12,2
gson,com.google.gson.examples.android.model.LineItem,false,false,false,false,false,false,false,false,57,1,1,0.4,1,0.0,0,1,12,7,6
gson,com.google.gson.examples.android.model.Cart,false,false,false,false,false,false,false,false,108,1,1,0.3,1,2.0,5,12,18,18,6
gson,com.google.gson.internal.GsonBuildConfig,false,false,false,false,false,false,false,false,32,1,0,1.0,0,0.0,0,0,1,1,1
gson,com.google.gson.internal.Excluder,false,false,false,false,false,true,false,true,260,2,0,0.1286549707602339,1,1.0869565217391304,17,50,65,70,20
gson,com.google.gson.internal.JsonReaderInternalAccess,false,false,false,false,false,false,false,false,32,1,0,1.0,0,0.0,2,0,2,1,1
gson,com.google.gson.internal.ObjectConstructor,false,false,false,false,false,false,false,false,33,0,0,1.0,0,0.0,0,0,1,1,1
gson,com.google.gson.internal.LinkedHashTreeMap,false,false,false,true,true,true,false,false,864,2,1,0.04710144927536232,1,0.65625,11,42,76,67,25
gson,com.google.gson.internal.$Gson$Types,false,false,false,false,false,true,false,true,610,21,0,-0.014285714285714285,2,0.46153846153846156,12,78,78,100,22
gson,com.google.gson.internal.LinkedTreeMap,false,false,false,false,false,false,false,false,630,2,1,0.05714285714285714,1,0.6206896551724138,10,33,65,55,22
gson,com.google.gson.internal.ConstructorConstructor,false,false,false,false,false,true,true,false,238,9,0,-0.05847953216374269,0,1.1428571428571428,25,29,59,49,20
gson,com.google.gson.internal.JavaVersion,false,false,false,false,false,false,false,false,92,5,0,-0.13333333333333333,0,1.5,0,12,25,19,7
