project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
joda-beans,org.joda.beans.MetaProperty,false,false,false,false,false,false,false,false,290,0,0,-0.058823529411764705,0,0.8181818181818182,6,16,63,34,18
joda-beans,org.joda.beans.DynamicMetaBean,false,false,false,false,false,false,false,false,80,0,0,-0.6666666666666666,0,0.0,0,0,14,5,5
joda-beans,org.joda.beans.ImmutableBean,false,false,false,false,false,false,false,false,27,0,0,1.0,0,0.0,0,0,0,0,0
joda-beans,org.joda.beans.DynamicBean,false,false,false,false,false,false,false,false,69,0,0,-1.0,0,0.0,0,0,9,4,4
joda-beans,org.joda.beans.MetaBean,false,false,false,false,false,false,false,false,226,0,0,-0.07575757575757576,1,8.0,6,19,49,32,13
joda-beans,org.joda.beans.BeanIterator,false,false,false,false,false,false,false,false,95,2,1,0.3333333333333333,1,0.75,8,19,14,24,5
joda-beans,org.joda.beans.JodaBeanUtils,false,false,false,true,true,true,false,false,1160,53,0,0.0043541364296081275,2,0.5733333333333334,49,135,191,189,54
joda-beans,org.joda.beans.TypedMetaBean,false,false,false,false,false,false,false,false,35,0,0,-2.0,0,0.0,0,0,2,2,2
joda-beans,org.joda.beans.Bean,false,false,false,false,false,false,false,false,72,0,0,0.0,1,0.0,2,6,10,9,3
joda-beans,org.joda.beans.Property,false,false,false,false,false,false,false,false,127,0,0,0.0,2,5.5,0,11,25,19,8
joda-beans,org.joda.beans.MetaBeans,false,false,false,false,false,false,false,false,108,1,0,0.0,0,1.0,4,14,18,18,4
joda-beans,org.joda.beans.BeanBuilder,false,false,false,false,false,false,false,false,83,0,0,-0.6666666666666666,0,0.0,0,0,20,5,5
joda-beans,org.joda.beans.TestPerson,false,false,false,false,false,true,false,true,284,4,0,-0.04395604395604396,19,0.0,18,140,22,155,15
joda-beans,org.joda.beans.TestClone,false,false,false,false,false,true,false,true,74,0,0,-2.0,0,0.0,11,23,3,25,2
joda-beans,org.joda.beans.TestBasicBean,false,false,false,false,false,false,false,false,137,0,0,-0.2857142857142857,6,0.0,5,35,14,44,9
joda-beans,org.joda.beans.TestBeanCodeGenException,false,false,false,false,false,false,false,false,38,0,0,1.0,0,0.0,4,3,1,4,1
joda-beans,org.joda.beans.TestCompanyAddress,false,false,false,false,false,false,false,true,277,3,1,0.038461538461538464,22,0.0,9,134,18,148,14
joda-beans,org.joda.beans.TestRWOnlyBean,false,false,false,false,false,false,false,false,58,0,0,-0.6666666666666666,2,0.0,3,18,5,23,5
joda-beans,org.joda.beans.TestResult,false,false,false,false,false,false,false,false,119,0,0,-0.3333333333333333,8,0.0,10,48,12,56,8
joda-beans,org.joda.beans.TestMinimal,false,false,false,false,false,true,false,true,226,0,0,-1.0,19,0.0,16,90,8,94,4
joda-beans,org.joda.beans.TestValidateBean,false,false,false,false,false,false,false,false,191,0,0,-0.08695652173913043,11,0.0,4,69,38,94,25
joda-beans,org.joda.beans.TestSubBean,false,false,false,false,false,false,false,false,43,0,0,1.0,0,0.0,3,7,2,8,1
joda-beans,org.joda.beans.TestLight,false,false,false,false,false,true,false,true,291,0,0,-1.0,29,0.0,16,109,10,113,4
joda-beans,org.joda.beans.TestArray,false,false,false,false,false,false,false,false,44,0,0,1.0,0,0.0,3,6,2,7,1
joda-beans,org.joda.beans.TestPair,false,false,false,false,false,false,false,false,63,0,0,-2.0,1,0.0,4,8,2,10,2
joda-beans,org.joda.beans.TestMetaInvoke,false,false,false,false,false,true,false,false,147,0,0,1.0,0,0.0,25,8,1,9,1
joda-beans,org.joda.beans.TestPropertyStyle,false,false,false,false,false,false,false,false,77,0,0,-0.6666666666666666,14,0.0,2,35,5,40,5
joda-beans,org.joda.beans.Examples,false,false,false,false,false,false,false,true,110,0,0,0.0,0,1.0,3,25,6,27,2
joda-beans,org.joda.beans.TestJodaBeanUtils,false,false,false,false,false,true,false,true,669,0,0,-0.02841530054644809,18,0.6666666666666666,24,181,63,243,62
joda-beans,org.joda.beans.TestReflective,false,false,false,false,false,false,false,true,73,0,0,1.0,0,0.0,6,24,1,25,1
joda-beans,org.joda.beans.TestImmutable,false,false,false,false,false,true,false,true,188,0,0,-0.25,13,0.0,14,81,23,91,10
joda-beans,org.joda.beans.TestFlexiBean,false,false,false,false,false,false,false,false,133,0,0,-0.3333333333333333,1,0.0,8,29,9,37,8
joda-beans,org.joda.beans.TestAddress,false,false,false,false,false,false,false,true,261,4,0,-0.038461538461538464,17,0.0,9,118,22,132,14
joda-beans,org.joda.beans.TestFinalFieldBean,false,false,false,false,false,false,false,true,165,0,2,1.0,2,0.0,9,64,9,70,6
joda-beans,org.joda.beans.TestBeanIterator,false,false,false,false,false,false,false,true,166,0,0,-0.4,18,0.0,9,55,7,62,7
joda-beans,org.joda.beans.TestOptionalBean,false,false,false,false,false,false,false,true,70,0,0,-2.0,5,0.0,5,35,3,38,3
joda-beans,org.joda.beans.TestMetaBean,false,false,false,false,false,false,false,false,64,0,0,-0.6666666666666666,2,0.0,7,18,5,23,5
joda-beans,org.joda.beans.TestMapBean,false,false,false,false,false,false,false,false,106,0,0,-1.0,2,0.0,4,25,4,29,4
joda-beans,org.joda.beans.TestMutableListBeans,false,false,false,false,false,false,false,false,55,0,0,-1.0,6,0.0,5,20,4,24,4
joda-beans,org.joda.beans.BeanIterator,false,false,false,false,false,false,false,false,1788,0,0,-0.3333333333333333,0,0.0,8,0,8,8,8
joda-beans,org.joda.beans.MetaBean,false,false,false,true,true,false,false,false,3548,0,0,-0.08571428571428572,0,0.0,6,0,22,22,22
joda-beans,org.joda.beans.JodaBeanUtils,false,false,false,true,true,true,false,false,19938,0,0,-0.012086704624912596,0,0.0,49,0,143,143,143
joda-beans,org.joda.beans.impl.BasicImmutableBeanBuilder,false,false,false,false,false,false,false,false,81,3,0,-0.3333333333333333,0,0.75,5,6,9,11,5
joda-beans,org.joda.beans.impl.BasicPropertyMap,false,false,false,false,false,false,false,false,127,2,3,0.6818181818181818,3,3.5,9,37,33,50,13
joda-beans,org.joda.beans.impl.BasicMetaProperty,false,false,false,false,false,false,false,false,74,0,1,1.0,1,5.0,1,10,13,15,5
joda-beans,org.joda.beans.impl.BasicBeanBuilder,false,false,false,false,false,false,false,false,110,0,3,1.0,3,0.7142857142857143,3,10,19,19,9
joda-beans,org.joda.beans.impl.BufferingBeanBuilder,false,false,false,false,false,false,false,false,150,8,1,0.19444444444444445,2,1.8333333333333333,7,19,25,29,10
joda-beans,org.joda.beans.impl.StandaloneMetaProperty,false,false,false,false,false,false,false,false,146,3,1,0.37777777777777777,1,1.6666666666666667,7,12,23,23,11
joda-beans,org.joda.beans.impl.BasicProperty,false,false,false,false,false,false,false,false,114,3,1,0.7333333333333333,1,3.0,3,6,16,13,7
joda-beans,org.joda.beans.impl.BasicMetaBean,false,false,false,false,false,false,false,false,37,0,0,1.0,0,0.0,1,2,2,3,1
joda-beans,org.joda.beans.impl.BasicBean,false,false,false,false,false,false,false,false,85,0,0,-1.0,0,0.0,2,10,10,14,4
joda-beans,org.joda.beans.impl.BasicBean,false,false,false,false,false,false,false,false,1475,0,0,-0.3333333333333333,0,0.0,2,0,8,8,8
joda-beans,org.joda.beans.impl.direct.DirectBean,false,false,false,false,false,false,false,false,33,0,0,1.0,0,0.0,1,0,1,1,1
joda-beans,org.joda.beans.impl.direct.DirectBeanBuilder,false,false,false,false,false,false,false,false,46,0,0,-2.0,0,1.0,2,2,2,4,2
