className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
org.apache.commons.collections4.MultiSetUtils,false,false,false,false,false,false,false,false,118,4,0,-0.6666666666666666,0,0.75,4,3,17,8,5
org.apache.commons.collections4.ArrayUtils,false,false,false,false,false,false,false,false,133,1,0,0.0,1,0.3333333333333333,0,3,12,6,3
org.apache.commons.collections4.Equator,false,false,false,false,false,false,false,false,42,0,0,-2.0,0,0.0,0,0,6,2,2
org.apache.commons.collections4.MultiMap,false,false,false,false,false,false,false,false,166,0,0,-0.4,0,0.0,1,0,28,7,7
org.apache.commons.collections4.MultiSet,false,false,false,false,false,false,false,false,271,0,0,-0.15384615384615385,0,0.0,3,0,54,15,15
org.apache.commons.collections4.ResettableListIterator,false,false,false,false,false,false,false,false,31,0,0,1.0,0,0.0,1,0,0,0,0
org.apache.commons.collections4.Closure,false,false,false,false,false,false,false,false,43,0,0,1.0,0,0.0,0,0,4,1,1
org.apache.commons.collections4.IterableUtils,false,true,false,true,true,true,false,false,1101,56,3,0.17532467532467533,8,0.9292929292929293,11,121,207,178,57
org.apache.commons.collections4.Unmodifiable,false,false,false,false,false,false,false,false,37,0,0,1.0,0,0.0,0,0,0,0,0
org.apache.commons.collections4.TrieUtils,false,false,false,false,false,false,false,false,48,0,0,-2.0,0,1.0,1,1,5,3,2
org.apache.commons.collections4.IterableMap,false,false,false,false,false,false,false,false,43,0,0,1.0,0,0.0,1,0,0,0,0
org.apache.commons.collections4.Transformer,false,false,false,false,false,false,false,false,50,0,0,1.0,0,0.0,0,0,5,1,1
org.apache.commons.collections4.FactoryUtils,false,false,false,false,false,false,false,false,150,0,0,-0.26666666666666666,0,0.6666666666666666,4,6,21,13,7
org.apache.commons.collections4.OrderedBidiMap,false,false,false,false,false,false,false,false,51,0,0,1.0,0,0.0,0,0,3,1,1
org.apache.commons.collections4.QueueUtils,false,false,false,false,false,false,false,false,139,5,0,-0.5,0,0.6666666666666666,6,4,22,10,6
org.apache.commons.collections4.Get,false,false,false,false,false,false,false,false,95,0,0,-0.2857142857142857,0,0.0,2,0,26,9,9
org.apache.commons.collections4.SortedBag,false,false,false,false,false,false,false,false,52,0,0,-2.0,0,0.0,1,0,7,3,3
org.apache.commons.collections4.ComparatorUtils,false,false,false,false,false,false,false,false,238,5,1,0.13333333333333333,1,1.0,8,7,36,18,11
org.apache.commons.collections4.SortedBidiMap,false,false,false,false,false,false,false,false,58,0,0,-2.0,0,0.0,2,0,6,2,2
org.apache.commons.collections4.MapUtils,false,true,false,true,true,true,false,true,1805,74,0,-0.014079147640791476,2,0.3825503355704698,30,139,276,213,74
org.apache.commons.collections4.BagUtils,false,false,false,false,false,true,false,false,261,11,0,-0.2,0,0.6923076923076923,11,9,47,21,12
org.apache.commons.collections4.ResettableIterator,false,false,false,false,false,false,false,false,37,0,0,1.0,0,0.0,1,0,1,1,1
org.apache.commons.collections4.SetValuedMap,false,false,false,false,false,false,false,false,66,0,0,-2.0,0,0.0,1,0,11,2,2
org.apache.commons.collections4.IteratorUtils,false,true,false,true,true,true,false,true,1547,10,0,-0.023444160272804774,1,0.55,47,67,296,137,70
