className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
org.jfree.chart.ChartColor,true,false,false,false,false,false,false,false,189,0,0,-2.0,0,0.0,2,0,3,2,2
org.jfree.chart.StandardChartTheme,false,false,false,true,true,true,false,true,1799,2,2,0.12016244624940277,9,1.0357142857142858,62,210,189,303,93
org.jfree.chart.PolarChartPanel,false,false,false,false,false,false,false,false,263,2,0,-0.13333333333333333,0,0.75,6,25,20,32,7
org.jfree.chart.ChartMouseEvent,false,false,false,false,false,false,false,false,118,1,0,0.0,0,0.0,4,0,9,4,4
org.jfree.chart.HashUtils,false,false,false,false,false,false,false,false,346,0,4,0.7272727272727273,4,0.5294117647058824,6,21,37,34,13
org.jfree.chart.LegendRenderingOrder,false,false,false,false,false,false,false,false,124,1,0,0.3333333333333333,0,1.5,2,3,11,7,4
org.jfree.chart.LegendItem,false,false,false,true,true,true,false,false,1157,2,4,0.17337662337662338,5,1.5,24,29,111,86,57
org.jfree.chart.ChartTheme,false,false,false,false,false,false,false,false,61,0,0,1.0,0,0.0,0,0,1,1,1
org.jfree.chart.ChartRenderingInfo,false,false,false,false,false,true,false,false,257,2,2,0.5272727272727272,2,0.0,11,9,30,21,12
org.jfree.chart.ChartTransferable,false,false,false,false,false,false,false,false,277,0,1,0.4666666666666667,1,0.14285714285714285,8,9,20,16,7
org.jfree.chart.ChartHints,false,false,false,false,false,false,false,false,109,1,0,1.0,0,0.0,1,0,1,1,1
org.jfree.chart.MouseWheelHandler,false,false,false,false,false,false,false,true,160,2,1,0.6666666666666666,1,0.5,8,19,14,24,5
org.jfree.chart.ChartPanel,true,true,false,true,true,true,true,true,3026,1,7,0.1343025268258913,8,0.9555555555555556,72,409,310,518,109
org.jfree.chart.ChartFactory,false,false,false,true,true,true,false,true,2302,20,10,0.38316400580551524,10,0.1267605633802817,89,210,195,264,54
org.jfree.chart.PaintMap,false,false,false,false,false,true,false,false,224,5,3,1.0,3,0.8888888888888888,12,29,29,38,9
org.jfree.chart.LegendItemSource,false,false,false,false,false,false,false,false,57,0,0,1.0,0,0.0,0,0,2,1,1
org.jfree.chart.ChartFrame,false,false,false,false,false,false,false,false,96,1,0,-1.0,0,0.0,3,2,9,5,3
org.jfree.chart.ChartUtils,false,false,false,false,false,true,false,false,731,0,0,-0.0291005291005291,3,0.1836734693877551,19,56,119,85,29
org.jfree.chart.JFreeChart,false,true,false,true,true,true,false,true,1649,3,4,0.10730593607305935,6,0.8441558441558441,58,163,213,237,74
org.jfree.chart.LegendItemCollection,false,false,false,false,false,false,false,false,156,4,3,1.0,3,1.25,4,7,17,15,8
org.jfree.chart.StrokeMap,false,false,false,false,false,true,false,false,219,5,3,1.0,3,0.8888888888888888,12,29,28,38,9
org.jfree.chart.ChartMouseListener,false,false,false,false,false,false,false,false,73,0,0,-2.0,0,0.0,1,0,6,2,2
org.jfree.chart.XYAreaChartTest,false,false,false,false,false,true,false,false,177,1,1,0.5,1,0.0,19,22,11,27,5
org.jfree.chart.TimeSeriesChartTest,false,false,false,false,false,true,false,false,185,1,1,0.5,1,0.0,19,22,10,27,5
org.jfree.chart.MeterChartTest,false,false,false,false,false,false,false,false,75,0,0,1.0,0,0.0,8,4,1,5,1
org.jfree.chart.StrokeMapTest,false,false,false,false,false,false,false,false,163,0,0,-0.5,4,0.0,5,21,15,27,6
org.jfree.chart.LegendItemTest,false,false,false,false,false,true,false,false,358,0,0,-1.0,2,0.0,15,23,9,27,4
org.jfree.chart.PieChart3DTest,false,false,false,false,false,true,false,false,142,2,0,0.0,1,1.0,12,14,8,18,4
org.jfree.chart.GanttChartTest,false,false,false,false,false,true,false,false,302,3,2,0.39285714285714285,2,1.6666666666666667,23,30,20,39,9
org.jfree.chart.PaintMapTest,false,false,false,false,false,false,false,false,182,0,0,-0.4,6,0.0,6,25,20,32,7
org.jfree.chart.TestUtils,false,false,false,false,false,false,false,false,98,0,0,-2.0,0,0.0,9,9,9,11,2
org.jfree.chart.WaterfallChartTest,false,false,false,false,false,true,false,false,152,1,1,0.5,1,0.0,16,17,11,22,5
org.jfree.chart.ChartPanelTest,false,false,false,false,false,true,false,false,346,6,3,0.325,5,0.0,14,88,25,105,17
org.jfree.chart.ChartRenderingInfoTest,false,false,false,false,false,false,false,true,140,0,0,-1.0,3,0.0,9,27,7,31,4
org.jfree.chart.HashUtilsTest,false,false,false,false,false,false,false,false,68,0,0,1.0,0,0.0,3,3,2,4,1
org.jfree.chart.StandardChartThemeTest,false,false,false,false,false,true,false,true,278,0,0,-2.0,2,0.0,16,38,6,41,3
org.jfree.chart.JFreeChartTest,false,false,false,false,false,true,false,true,493,13,0,-0.10989010989010989,6,0.0,31,74,33,89,15
org.jfree.chart.PieChartTest,false,false,false,false,false,false,false,false,120,1,0,0.0,0,0.0,8,9,6,12,3
org.jfree.chart.BarChartTest,false,false,false,false,false,true,false,false,214,1,2,0.6,2,0.0,21,27,12,33,6
org.jfree.chart.AreaChartTest,false,false,false,false,false,true,false,false,196,1,2,0.6,2,0.0,22,27,12,33,6
org.jfree.chart.XYBarChartTest,false,false,false,false,false,true,false,false,182,1,1,0.5,1,0.0,21,22,10,27,5
org.jfree.chart.XYLineChartTest,false,false,false,false,false,true,false,false,178,1,1,0.5,1,0.0,19,22,10,27,5
org.jfree.chart.XYStepAreaChartTest,false,false,false,false,false,true,false,false,177,1,1,0.5,1,0.0,19,22,10,27,5
org.jfree.chart.StackedBarChartTest,false,false,false,false,false,true,false,false,210,1,2,0.6,2,0.0,21,27,12,33,6
org.jfree.chart.ScatterPlotTest,false,false,false,false,false,true,false,false,178,1,1,0.5,1,0.0,19,22,10,27,5
org.jfree.chart.StackedAreaChartTest,false,false,false,false,false,true,false,false,204,1,2,0.6,2,0.0,21,27,12,33,6
org.jfree.chart.XYStepChartTest,false,false,false,false,false,true,false,false,191,1,1,0.5,1,0.0,20,22,10,27,5
org.jfree.chart.LineChartTest,false,false,false,false,false,true,false,false,197,1,2,0.6,2,0.0,20,26,11,32,6
org.jfree.chart.LegendItemCollectionTest,false,false,false,false,false,false,false,false,122,0,0,-2.0,2,0.0,9,17,5,20,3
org.jfree.chart.util.HMSNumberFormat,false,false,false,false,false,false,false,false,120,3,0,-0.6666666666666666,0,0.3333333333333333,4,3,11,7,4
org.jfree.chart.util.ArrayUtils,false,false,false,false,false,false,false,false,198,0,0,-0.5,0,0.0,1,5,23,11,6
org.jfree.chart.util.LineUtils,false,false,false,false,false,false,false,false,172,0,0,-2.0,2,0.0,2,15,8,17,2
org.jfree.chart.util.PaintUtils,false,false,false,false,false,false,false,true,182,0,0,-1.0,0,0.0,8,33,18,37,4
org.jfree.chart.util.AttrStringUtils,false,false,false,false,false,false,false,true,333,0,1,0.0761904761904762,1,0.44680851063829785,6,59,39,75,16
org.jfree.chart.util.BooleanList,false,false,false,false,false,false,false,false,91,5,0,-0.6666666666666666,0,0.0,0,2,13,7,5
org.jfree.chart.util.ObjectUtils,false,false,false,false,false,false,false,false,157,0,0,-0.5,0,1.0,5,14,21,19,5
org.jfree.chart.util.PaintList,false,false,false,false,false,false,false,false,155,7,0,-0.2,0,0.75,4,14,22,21,7
org.jfree.chart.util.LogFormat,false,false,false,false,false,false,false,false,263,1,2,0.35555555555555557,2,0.7777777777777778,4,13,27,24,11
org.jfree.chart.util.ShapeUtils,false,false,false,false,false,true,false,false,577,21,0,-0.0761904761904762,3,0.6666666666666666,13,77,79,99,22
org.jfree.chart.util.ExportUtils,false,false,false,false,false,true,false,false,250,0,0,-0.3,3,0.0,15,26,28,32,6
org.jfree.chart.util.StringUtils,false,false,false,false,false,false,false,false,88,0,0,-1.0,0,0.0,0,5,13,9,4
org.jfree.chart.util.ShadowGenerator,false,false,false,false,false,false,false,false,79,0,0,-2.0,0,0.0,1,0,10,3,3
org.jfree.chart.util.RelativeDateFormat,false,false,false,false,false,false,false,false,585,1,3,0.17663817663817663,4,2.0,8,23,62,51,28
org.jfree.chart.util.StrokeList,false,false,false,false,false,false,false,false,161,0,0,-0.23809523809523808,0,0.6666666666666666,4,11,26,19,8
org.jfree.chart.util.DefaultShadowGenerator,false,false,false,false,false,false,false,false,333,1,3,0.5151515151515151,3,1.5,6,17,33,30,13
org.jfree.chart.util.ShapeList,false,false,false,false,false,false,false,false,164,0,0,-0.23809523809523808,0,0.6666666666666666,4,14,26,22,8
org.jfree.chart.util.PublicCloneable,false,false,false,false,false,false,false,false,45,0,0,1.0,0,0.0,0,0,5,1,1
org.jfree.chart.util.DirectionalGradientPaintTransformer,false,false,false,false,false,false,false,false,139,0,0,-2.0,0,0.0,4,10,8,12,2
org.jfree.chart.util.HexNumberFormat,false,false,false,false,false,false,false,false,162,1,1,0.06666666666666667,1,0.3333333333333333,3,5,16,12,7
org.jfree.chart.util.CloneUtils,false,false,false,false,false,false,false,false,107,0,0,-2.0,1,0.0,4,8,14,10,2
org.jfree.chart.util.PaintAlpha,false,false,false,false,false,false,false,true,394,6,0,0.2857142857142857,0,1.0,10,56,28,64,8
org.jfree.chart.util.ObjectList,false,false,false,false,false,false,false,false,94,0,0,-0.6666666666666666,0,0.0,0,0,9,5,5
org.jfree.chart.util.XYCoordinateType,false,false,false,false,false,false,false,false,137,1,0,0.3333333333333333,0,1.5,2,3,11,7,4
org.jfree.chart.util.AbstractObjectList,false,false,false,false,false,false,false,false,265,2,0,0.4090909090909091,0,1.1666666666666667,5,16,38,29,13
org.jfree.chart.util.SerialUtils,false,false,false,false,false,true,false,true,619,0,0,-0.14102564102564102,7,1.0,24,105,64,119,14
org.jfree.chart.util.ResourceBundleWrapper,false,false,false,false,false,false,false,false,170,2,1,0.16666666666666666,1,0.3333333333333333,6,9,14,14,5
org.jfree.chart.util.Args,false,false,false,false,false,false,false,false,90,0,0,-2.0,0,0.0,0,0,10,3,3
org.jfree.chart.util.HMSNumberFormatTest,false,false,false,false,false,false,false,false,61,0,0,1.0,0,0.0,2,2,2,3,1
org.jfree.chart.util.RelativeDateFormatTest,false,false,false,false,false,false,false,true,224,6,0,-0.2857142857142857,4,0.0,10,47,15,55,8
org.jfree.chart.util.LogFormatTest,false,false,false,false,false,false,false,false,122,0,0,-1.0,2,0.0,6,15,6,19,4
org.jfree.chart.util.LineUtilsTest,false,false,false,false,false,false,false,false,122,0,0,0.0,0,0.2,5,10,4,12,2
org.jfree.chart.resources.JFreeChartResources,false,false,false,false,false,false,false,false,65,0,0,1.0,0,0.0,1,0,2,1,1
org.jfree.chart.urls.CustomXYURLGenerator,false,false,false,false,false,false,false,false,211,6,1,0.3333333333333333,1,1.0,5,12,23,20,8
org.jfree.chart.urls.StandardCategoryURLGenerator,false,false,false,false,false,false,false,false,218,1,1,0.26666666666666666,1,0.0,6,9,18,16,7
org.jfree.chart.urls.StandardXYURLGenerator,false,false,false,false,false,false,false,false,172,0,1,0.5,1,0.0,4,3,11,8,5
org.jfree.chart.urls.StandardXYZURLGenerator,false,false,false,false,false,false,false,false,65,0,0,1.0,0,0.0,1,0,3,1,1
